編號,行政區,停車場名稱,地址,身心障礙汽車格位統計數值,身心障礙機車格位統計數值,無障礙電梯,無障礙廁所,無障礙樓梯扶手,TMPX,TMPY,QUERYSERVICECODE
1,士林區,百齡高中地下停車場,臺北市士林區承德路4段175號地下,5,,,v,v,,,
2,士林區,前港公園地下停車場,臺北市士林區前港街45號地下,11,,v,v,v,302485.636,2775299.133,TPGOS_CA_ADDR
3,士林區,社園立體(機械),臺北市士林區延平北路6段180號,6,,,v,v,,,
4,士林區,文昌國小地下停車場,臺北市士林區文林路615巷20號地下,5,6,v,v,v,302538.164,2776912.616,TPGOS_CA_ADDR
5,士林區,海光公園地下停車場,臺北市士林區葫蘆街83號地下,2,,v,v,v,301276.365,2774881.347,TPGOS_CA_ADDR
6,士林區,社子國小地下停車場,臺北市士林區延平北路6段308號地下,10,5,v,v,v,300730.467,2775818.774,TPGOS_CA_ADDR
7,士林區,承德公園地下停車場,臺北市士林區基河路150號地下,6,2,v,v,v,302678.604,2775840.168,TPGOS_CA_ADDR
8,士林區,蘭雅公園地下停車場,臺北市士林區德行東路129巷31號地下,4,,v,v,v,303375.13,2778020.556,TPGOS_CA_ADDR
9,士林區,福林公園地下停車場,臺北市士林區中正路17號地下,5,2,v,v,v,303510.022,2776499.898,TPGOS_CA_ADDR
10,大同區,塔城公園地下停車場,臺北市大同區塔城街11號地下,4,,v,v,v,301521.184,2771508.989,TPGOS_CA_ADDR
11,大同區,市民大道(塔城段),臺北市大同區西寧北路-塔城街(地下),11,,,v,v,,,
12,大同區,大稻埕公園地下停車場,臺北市大同區歸綏街243號地下,5,,v,v,v,301514.178,2772338.378,TPGOS_CA_ADDR
13,大同區,成淵高中地下停車場,臺北市大同區承德路2段235號之1地下,6,,,v,v,,,
14,大同區,建成國中地下停車場,臺北市大同區長安西路37號之一地下,7,3,v,v,v,302437.304,2771457.038,TGOS_V2_ADDR
15,大同區,朝陽公園地下停車場,臺北市大同區重慶北路2段68號地下,5,,v,v,v,301830.939,2772094.503,TPGOS_CA_ADDR
16,大同區,蓬萊國小地下停車場,臺北市大同區寧夏路35號地下,6,3,v,v,v,302018.059,2772138.475,TPGOS_CA_ADDR
17,大同區,建成公園地下停車場,臺北市大同區承德路2段31號地下,6,4,v,v,v,302290.18,2771851.242,TPGOS_CA_ADDR
18,大同區,大龍國小地下停車場,臺北市大同區哈密街47號地下,6,3,v,v,v,302127.204,2774007.664,TPGOS_CA_ADDR
19,大同區,啟聰學校地下停車場,臺北市大同區延平北路4段205號,4,4,v,v,v,301625.052,2774104.809,TPGOS_CA_ADDR
20,大同區,揚雅立體停車場(機械),臺北市大同區大龍街136號,5,,機械塔無設置,v,v,,,
21,大安區,大安森林公園地下停車場,臺北市大安區建國南路2段2號地下,27,8,v,v,v,304224.082,2769427.701,TPGOS_CA_ADDR
22,大安區,金華地下停車場,臺北市大安區金華街254巷1號地下,4,,v,v,v,303628.454,2769212.935,TGOS_V2_ADDR
23,大安區,大安高工地下停車場,臺北市大安區信義路3段166巷6弄12號,11,,v,v,v,304600.133,2769511.737,TPGOS_CA_ADDR
24,大安區,附中公園地下停車場,臺北市大安區復興南路1段340巷11號,2,,v,v,v,304739.831,2769911.756,TPGOS_CA_ADDR
25,大安區,龍門國中地下停車場,臺北市大安區建國南路2段269號地下,16,8,v,v,v,304298.353,2768643.38,TPGOS_CA_ADDR
26,大安區,僑安地下停車場,臺北市大安區忠孝東路4段306號地下,10,,v,v,v,306188.976,2770449.907,TPGOS_CA_ADDR
27,大安區,嘉興公園地下停車場,臺北市大安區嘉興街373號,4,2,v,v,v,305698.389,2768300.497,TPGOS_CA_ADDR
28,中山區,市民大道(林金段),臺北市中山區林森北路-金山北路,20,,,v,v,,,
29,中山區,林森公園停車場,臺北市中山區南京東路1段35號地下,17,,v,v,v,303167.013,2771759.655,TPGOS_CA_ADDR
30,中山區,市民大道(中林段),臺北市中山區中山北路-林森北路,10,,,v,v,,,
31,中山區,市民大道(公中段),臺北市中山區公園路-中山北路(地下),4,,,v,v,,,
32,中山區,市民大道(建復段),臺北市中山區建國北路-復興北路,4,,,v,v,,,
33,中山區,進安公園地下停車場,臺北市中山區八德路2段158號地下,3,,v,v,v,304246.189,2770987.714,TPGOS_CA_ADDR
34,中山區,濱江市場地下停車場,臺北市中山區民族東路336號地下,4,,v,v,v,304209.881,2773408.616,TPGOS_CA_ADDR
35,中山區,永盛公園地下停車場,臺北市中山區中山北路2段93巷30號,5,1,v,v,v,302919.855,2772443.742,TPGOS_CA_ADDR
36,中山區,長安國小地下停車場,臺北市中山區吉林路15號地下,6,2,v,v,v,303495.622,2771393.809,TPGOS_CA_ADDR
37,中山區,榮星花園地下停車場,臺北市中山區建國北路3段39號地下,5,2,v,v,v,304239.076,2772964.63,TPGOS_CA_ADDR
38,中正區,中山堂地下停車場,臺北市中正區延平南路98號地下,9,,,v,v,,,
39,內湖區,東湖國小地下停車場,臺北市內湖區東湖路115號地下,7,2,v,v,v,312123.29,2773510.686,TPGOS_CA_ADDR
40,內湖區,麗湖國小地下停車場,臺北市內湖區金湖路363巷8號地下,6,,v,v,v,310657.806,2774006.354,TPGOS_CA_ADDR
41,內湖區,港富立體(機械),臺北市內湖區內湖路1段737巷50弄32號,5,,機械塔無設置,v,v,,,
42,內湖區,康樂立體(機械),臺北市內湖區康樂路138號,3,,機械塔無設置,v,v,,,
43,內湖區,湖興立體(機械),臺北市內湖區成功路2段322號,5,,機械塔無設置,v,v,,,
44,內湖區,洲子立體停車場,臺北市內湖區瑞光路513巷22弄2號,8,,v,v,v,307453.731,2774699.56,TPGOS_CA_ADDR
45,內湖區,西湖公園地下停車場,臺北市內湖區內湖路1段387巷38號地下,4,,v,v,v,307536.929,2775165.845,TPGOS_CA_ADDR
46,內湖區,大湖公園地下停車場,臺北市內湖區成功路5段7號地下,5,2,v,v,v,310761.858,2775156.188,TPGOS_CA_ADDR
47,內湖區,西康地下停車場,臺北市內湖區內湖路1段203巷25號地下,2,,v,v,v,306866.632,2775280.025,TPGOS_CA_ADDR
48,內湖區,康樂合署大樓地下停車場,臺北市內湖區康樂街150號地下,2,1,v,v,v,312470.194,2773965.002,TPGOS_CA_ADDR
49,文山區,景華公園地下停車場,臺北市文山區景華街55號地下,15,,v,v,v,304890.455,2765354.146,TPGOS_CA_ADDR
50,文山區,辛亥國小地下停車場,臺北市文山區辛亥路4段103號地下,4,,,v,v,,,
51,文山區,花木市場地下停車場,臺北市文山區興隆路1段15號地下,10,7,v,v,v,304541.813,2766361.043,TPGOS_CA_ADDR
52,文山區,興隆公園地下停車場,臺北市文山區仙岩路128號地下,6,2,v,v,v,305650.857,2765968.861,TPGOS_CA_ADDR
53,文山區,景美國小地下停車場,臺北市文山區景文街142巷2號地下,6,3,v,v,v,304543.655,2764614.225,TPGOS_CA_ADDR
54,文山區,萬興國小地下停車場,臺北市文山區秀明路2段116號地下,5,4,v,v,v,308215.173,2764750.474,TPGOS_CA_ADDR
55,文山區,永建國小地下停車場,臺北市文山區木柵路一段311巷1號,5,2,v,v,v,306116.028,2764694.775,TPGOS_CA_ADDR
56,文山區,興隆公共住宅2區地下停車場,興隆路4段105巷45號地下,7,8,v,v,v,306786.188,2764584.703,TPGOS_CA_ADDR
57,北投區,大豐公園地下停車場,臺北市北投區大興街145號地下,5,,v,v,v,300832.667,2780400.114,TPGOS_CA_ADDR
58,北投區,振興公園地下停車場,臺北市北投區天母西路112號地下,5,2,v,v,v,302758.678,2779037.843,TPGOS_CA_ADDR
59,北投區,石牌國小地下停車場,臺北市北投區致遠二路1段80號地下,10,4,v,v,v,301607.456,2778689.47,TGOS_V2_ADDR
60,北投區,大業立體停車場(機械),臺北市北投區大業路745號,2,,機械塔無設置,v,v,,,
61,北投區,七星公園地下停車場,臺北市北投區光明路225號地下,6,3,v,v,v,300931.56,2780949.784,TGOS_V2_ADDR
62,北投區,立農公園地下停車場,臺北市北投區承德路7段372號地下,5,2,v,v,v,300757.796,2778999.822,TPGOS_CA_ADDR
63,松山區,民權公園地下停車場,臺北市松山區民權東路4段180號地下,15,,v,v,v,306183.478,2772741.175,TPGOS_CA_ADDR
64,松山區,民生立體停車場,臺北市松山區民生東路5段84號,10,,v,v,v,306447.684,2772365.612,TPGOS_CA_ADDR
65,松山區,八德立體(機械),臺北市松山區八德路4段568號,5,,機械塔無設置,v,v,,,
66,松山區,西松高中地下停車場,臺北市松山區健康路325巷19弄1號,7,,,v,v,,,
67,松山區,市民大道(復敦段),臺北市松山區復興南路-敦化南路,5,,,v,v,,,
68,松山區,市民大道(延吉段),臺北市松山區延吉街兩側(地下),2,,,v,v,,,
69,松山區,市民大道(敦延段),臺北市松山區敦化南路-延吉街(地下),5,,,v,v,,,
70,松山區,健康國小地下停車場,臺北市松山區延壽街168號地下,5,,v,v,v,306795.973,2772167.329,TPGOS_CA_ADDR
71,松山區,中崙高中地下停車場,臺北市松山區八德路4段101號地下,7,,v,v,v,306612.556,2771289.569,TPGOS_CA_ADDR
72,松山區,民有市場地下停車場,臺北市松山區民權東路3段140巷15號,7,9,v,v,v,305161.599,2772590.237,TPGOS_CA_ADDR
73,松山區,八德立體停車場,臺北市松山區八德路四段580號,8,9,v,v,v,307688.931,2771404.648,TPGOS_CA_ADDR
74,松山區,北寧路地下停車場,臺北市松山區八德路3段25號地下,2,,,v,v,,,
75,松山區,民生社區地下停車場,臺北市松山區民生東路5段163號之1地下,4,,v,v,v,306760.98,2772436.954,TPGOS_CA_ADDR
76,松山區,松山國小地下停車場,臺北市松山區八德路4段746號,10,3,v,v,v,308447.761,2771574.274,TPGOS_CA_ADDR
77,松山區,偶戲博物館地下停車場,臺北市松山區市民大道5段99號地下,2,2,v,v,v,306655.317,2771197.923,TPGOS_CA_ADDR
78,信義區,府前廣場地下停車場,臺北市信義區松壽路1號地下                     ,45,23,v,v,v,306824.243,2769892.39,TPGOS_CA_ADDR
79,信義區,松壽廣場地下停車場,臺北市信義區松智路75號地下,9,,v,v,v,307122.956,2770191.765,TGOS_V2_ADDR
80,信義區,松山高中地下停車場,臺北市信義區基隆路1段156號地下,5,,,v,v,,,
81,信義區,五分埔公園地下停車場,臺北市信義區中坡北路57號地下,4,,v,v,v,308565.442,2771067.861,TPGOS_CA_ADDR
82,信義區,興雅國中地下停車場,臺北市信義區松德路200巷18號地下,9,,,v,v,,,
83,信義區,忠信公園地下停車場,臺北市信義區松仁路2號地下,7,5,v,v,v,307339.343,2770388.754,TPGOS_CA_ADDR
84,信義區,信義廣場地下停車場,臺北市信義區信義路5段11號地下,8,3,v,v,v,307157.491,2769568.007,TPGOS_CA_ADDR
85,信義區,春光公園地下停車場,臺北市信義區忠孝東路5段666號地下,5,3,v,v,v,308606.684,2770592.615,TPGOS_CA_ADDR
86,信義區,三張里地下停車場,臺北市信義區松平路81號地下,8,4,v,v,v,307201.543,2769284.643,TPGOS_CA_ADDR
87,信義區,災變中心地下停車場,臺北市信義區莊敬路391巷11弄2號,5,4,v,v,v,307112.342,2769100.032,TPGOS_CA_ADDR
88,信義區,雅祥公園地下停車場,臺北市信義區松隆路123巷7號地下,5,,v,v,v,307689.425,2771172.957,TPGOS_CA_ADDR
89,信義區,信義國小地下停車場,臺北市信義區松勤路60號地下,5,1,v,v,v,306837.814,2769421.608,TGOS_V2_ADDR
90,信義區,松山工農地下停車場,臺北市信義區忠孝東路5段236巷15號,5,4,v,v,v,307723.81,2770313.675,TPGOS_CA_ADDR
91,信義區,松山車站地下停車場,臺北市信義區松山路11號南廣場地下,16,,v,v,v,308346.53,2771269.301,TPGOS_CA_ADDR
92,信義區,景勤2號公園地下停車場,臺北市信義區信安街49號,5,3,v,v,v,306351.476,2768872.541,TPGOS_CA_ADDR
93,南港區,興中立體停車場,臺北市南港區興中路44巷1號,13,4,v,v,v,311222.584,2772136.548,TPGOS_CA_ADDR
94,南港區,成德立體(機械),臺北市南港區成福路1號,5,,機械塔無設置,v,v,,,
95,南港區,玉成國小地下停車場,臺北市南港區昆陽街23號,8,3,v,v,v,309806.071,2771795.187,TPGOS_CA_ADDR
96,南港區,南港國小地下停車場,臺北市南港區興東街59號,8,2,v,v,v,311664.35,2772177.795,TPGOS_CA_ADDR
97,南港區,玉成公園地下停車場,臺北市南港區成福路118號地下,9,3,v,v,v,309228.272,2770581.531,TPGOS_CA_ADDR
98,南港區,南港世貿地下停車場,臺北市南港區經貿二路88巷1號地下,8,4,v,v,v,312175.012,2772318.553,TPGOS_CA_ADDR
99,南港區,世貿公園地下停車場,臺北市南港區經貿二路88巷1號地下,8,4,v,v,v,312175.012,2772318.553,TPGOS_CA_ADDR
100,萬華區,峨眉立體停車場,臺北市萬華區峨眉街83號,11,12,v,v,v,300983.951,2770744.623,TPGOS_CA_ADDR
101,萬華區,洛陽立體停車場,臺北市萬華區環河南路1段1號,64,6,v,v,v,301045.516,2771273.981,TGOS_V2_ADDR
102,萬華區,古亭國中地下停車場,臺北市萬華區中華路2段606巷1號地下,6,,,v,v,,,
103,萬華區,青年高球場地下停車場,臺北市萬華區國興路5號地下,12,7,v,v,v,301242.94,2768583.762,TPGOS_CA_ADDR
104,萬華區,雙園國中地下停車場,臺北市萬華區西園路2段320巷55弄3號,7,,v,v,v,299656.965,2769002.199,TPGOS_CA_ADDR
105,萬華區,青年棒球場地下停車場,臺北市萬華區青年路69號地下,6,3,v,v,v,300760.124,2768468.754,TPGOS_CA_ADDR
106,萬華區,萬板專案地下停車場,臺北市萬華區艋舺大道460號地下,4,,,v,v,,,
107,萬華區,艋舺公園地下停車場,臺北市萬華區西園路1段145號地下,13,6,v,X,v,300407.612,2769873.673,TPGOS_CA_ADDR
108,萬華區,萬華國中地下停車場,臺北市萬華區西藏路201號地下,11,4,v,v,v,300327.513,2769099.967,TPGOS_CA_ADDR
109,萬華區,莒光立體停車場,臺北市萬華區莒光路137號,3,,機械塔無設置,v,v,,,
110,萬華區,新糖廍公園地下停車場,臺北市萬華區大理街160巷2號地下,2,,v,v,v,299867.075,2769586.619,TPGOS_CA_ADDR
111,萬華區,萬華車站地下停車場,臺北市萬華區康定路382號地下,6,,,v,v,300489.622,2769568.405,TPGOS_CA_ADDR
112,大同區,延平國小地下停車場,臺北市大同區昌吉街97號,7,2,,v,v,301690.696,2773189.136,TPGOS_CA_ADDR
113,內湖區,大港墘地下停車場,臺北市大同區洲子街18號地下,6,6,,v,v,308002.9524,2774596.02,GMAPI_ADDR
